episode,average_win_rate
1,0.37777777777777777
2,0.4
3,0.3111111111111111
4,0.37777777777777777
5,0.4666666666666667
6,0.35555555555555557
7,0.28888888888888886
8,0.3333333333333333
9,0.3111111111111111
10,0.37777777777777777
11,0.35555555555555557
12,0.4222222222222222
13,0.4
14,0.4
15,0.35555555555555557
16,0.4444444444444444
17,0.5333333333333333
18,0.2222222222222222
19,0.37777777777777777
20,0.17777777777777778
21,0.4
22,0.4666666666666667
23,0.4444444444444444
24,0.37777777777777777
25,0.4
26,0.3333333333333333
27,0.35555555555555557
28,0.4888888888888889
29,0.4666666666666667
30,0.3111111111111111
31,0.37777777777777777
32,0.4222222222222222
33,0.4222222222222222
34,0.37777777777777777
35,0.37777777777777777
36,0.4444444444444444
37,0.4
38,0.4
39,0.37777777777777777
40,0.4222222222222222
41,0.28888888888888886
42,0.4666666666666667
43,0.4
44,0.4222222222222222
45,0.4222222222222222
46,0.24444444444444444
47,0.28888888888888886
48,0.26666666666666666
49,0.4666666666666667
50,0.3333333333333333
51,0.35555555555555557
52,0.35555555555555557
53,0.4666666666666667
54,0.37777777777777777
55,0.28888888888888886
56,0.4888888888888889
57,0.3333333333333333
58,0.3111111111111111
59,0.24444444444444444
60,0.26666666666666666
61,0.4
62,0.37777777777777777
63,0.4
64,0.28888888888888886
65,0.24444444444444444
66,0.3333333333333333
67,0.4
68,0.35555555555555557
69,0.35555555555555557
70,0.4444444444444444
71,0.28888888888888886
72,0.37777777777777777
73,0.37777777777777777
74,0.35555555555555557
75,0.4222222222222222
76,0.37777777777777777
77,0.4
78,0.3333333333333333
79,0.35555555555555557
80,0.37777777777777777
81,0.4
82,0.3111111111111111
83,0.4444444444444444
84,0.35555555555555557
85,0.37777777777777777
86,0.28888888888888886
87,0.4222222222222222
88,0.3333333333333333
89,0.35555555555555557
90,0.4444444444444444
91,0.37777777777777777
92,0.4666666666666667
93,0.4
94,0.5111111111111111
95,0.3333333333333333
96,0.3333333333333333
97,0.28888888888888886
98,0.3333333333333333
99,0.37777777777777777
100,0.3333333333333333
101,0.4666666666666667
102,0.3333333333333333
103,0.28888888888888886
104,0.4444444444444444
105,0.3111111111111111
106,0.4888888888888889
107,0.35555555555555557
108,0.37777777777777777
109,0.5111111111111111
110,0.37777777777777777
111,0.37777777777777777
112,0.4888888888888889
113,0.4222222222222222
114,0.5111111111111111
115,0.28888888888888886
116,0.28888888888888886
117,0.4
118,0.4222222222222222
119,0.4222222222222222
120,0.35555555555555557
121,0.4222222222222222
122,0.3111111111111111
123,0.3333333333333333
124,0.4666666666666667
125,0.37777777777777777
126,0.37777777777777777
127,0.4888888888888889
128,0.35555555555555557
129,0.4222222222222222
130,0.24444444444444444
131,0.37777777777777777
132,0.37777777777777777
133,0.4222222222222222
134,0.5777777777777777
135,0.4222222222222222
136,0.28888888888888886
137,0.37777777777777777
138,0.4
139,0.4888888888888889
140,0.35555555555555557
141,0.28888888888888886
142,0.37777777777777777
143,0.35555555555555557
144,0.4888888888888889
145,0.4444444444444444
146,0.35555555555555557
147,0.3111111111111111
148,0.26666666666666666
149,0.35555555555555557
150,0.4222222222222222
151,0.4
152,0.15555555555555556
153,0.4
154,0.4222222222222222
155,0.4
156,0.26666666666666666
157,0.37777777777777777
158,0.37777777777777777
159,0.4444444444444444
160,0.26666666666666666
161,0.35555555555555557
162,0.4
163,0.4888888888888889
164,0.37777777777777777
165,0.5555555555555556
166,0.5555555555555556
167,0.5111111111111111
168,0.35555555555555557
169,0.37777777777777777
170,0.4
171,0.4222222222222222
172,0.28888888888888886
173,0.3333333333333333
174,0.28888888888888886
175,0.37777777777777777
176,0.3333333333333333
177,0.4
178,0.37777777777777777
179,0.28888888888888886
180,0.28888888888888886
181,0.26666666666666666
182,0.4444444444444444
183,0.4
184,0.28888888888888886
185,0.4222222222222222
186,0.4222222222222222
187,0.4
188,0.37777777777777777
189,0.4
190,0.35555555555555557
191,0.5111111111111111
192,0.4444444444444444
193,0.4222222222222222
194,0.4222222222222222
195,0.3111111111111111
196,0.3333333333333333
197,0.26666666666666666
198,0.3111111111111111
199,0.4888888888888889
200,0.35555555555555557
201,0.4
202,0.28888888888888886
203,0.4222222222222222
204,0.24444444444444444
205,0.4666666666666667
206,0.4
207,0.35555555555555557
208,0.4444444444444444
209,0.28888888888888886
210,0.3111111111111111
211,0.4
212,0.4
213,0.35555555555555557
214,0.4666666666666667
215,0.2
216,0.28888888888888886
217,0.37777777777777777
218,0.37777777777777777
219,0.35555555555555557
220,0.4
221,0.4222222222222222
